Date,signal,position
2024-03-04,0,0.20903506825809515
2024-03-05,1,0.3672280546064761
2024-03-06,0,0.2937824436851809
2024-03-07,0,0.23502595494814474
2024-03-08,0,0.1880207639585158
2024-03-09,0,0.15041661116681265
2024-03-10,0,0.12033328893345013
2024-03-11,0,0.09626663114676011
2024-03-12,1,0.2770133049174081
2024-03-13,0,0.2216106439339265
2024-03-14,0,0.1772885151471412
2024-03-15,0,0.14183081211771295
2024-03-16,0,0.11346464969417036
2024-03-17,0,0.0907717197553363
2024-03-18,-1,-0.127382624195731
2024-03-19,0,-0.10190609935658479
2024-03-20,1,0.11847512051473218
2024-03-21,0,0.09478009641178575
2024-03-22,1,0.27582407712942864
2024-03-23,0,0.2206592617035429
2024-03-24,0,0.17652740936283434
2024-03-25,0,0.1412219274902675
2024-03-26,0,0.11297754199221399
2024-03-27,0,0.0903820335937712
2024-03-28,0,0.07230562687501696
2024-03-29,0,0.05784450150001357
2024-03-30,0,0.04627560120001086
2024-03-31,0,0.03702048096000869
2024-04-01,-1,-0.17038361523199305
2024-04-02,0,-0.13630689218559444
2024-04-03,0,-0.10904551374847556
2024-04-04,0,-0.08723641099878045
2024-04-05,-1,-0.2697891287990244
2024-04-06,0,-0.21583130303921952
2024-04-07,0,-0.17266504243137562
2024-04-08,-1,-0.3381320339451005
2024-04-09,0,-0.2705056271560804
2024-04-10,0,-0.21640450172486433
2024-04-11,-1,-0.3731236013798915
2024-04-12,0,-0.2984988811039132
2024-04-13,-1,-0.43879910488313056
2024-04-14,-1,-0.5510392839065045
2024-04-15,-1,-0.6408314271252036
2024-04-16,-1,-0.7126651417001628
2024-04-17,1,-0.37013211336013024
2024-04-18,-1,-0.49610569068810423
2024-04-19,-1,-0.5968845525504833
2024-04-20,-1,-0.6775076420403867
2024-04-21,-1,-0.7420061136323095
2024-04-22,0,-0.5936048909058477
2024-04-23,0,-0.47488391272467817
2024-04-24,-1,-0.5799071301797425
2024-04-25,-1,-0.663925704143794
